5
2527 4950
1 2 -27
1 3 92
1 4 -50
1 5 -61
1 6 -14
1 7 -89
1 8 -3
1 9 56
1 10 75
1 11 -59
1 12 -40
1 13 -36
1 14 -57
1 15 -13
1 16 -47
1 17 63
1 18 -49
1 19 -42
1 20 36
1 21 49
1 22 -22
1 23 -75
1 24 -2
1 25 15
1 26 -64
2 27 -31
3 27 38
3 28 -3
4 28 4
4 29 46
5 29 -11
5 30 -14
6 30 -16
6 31 26
7 31 -15
7 32 -22
8 32 -89
8 33 48
9 33 91
9 34 -26
10 34 -14
10 35 -42
11 35 -10
11 36 6
12 36 -38
12 37 78
13 37 -3
13 38 -31
14 38 -57
14 39 -35
15 39 -11
15 40 37
16 40 62
16 41 -38
17 41 44
17 42 -53
18 42 -42
18 43 32
19 43 31
19 44 -67
20 44 -18
20 45 75
21 45 -35
21 46 6
22 46 -65
22 47 -43
23 47 -97
23 48 17
24 48 50
24 49 -42
25 49 23
25 50 -90
26 50 -39
26 51 -3
27 52 -9
28 52 -85
28 53 98
29 53 -17
29 54 -57
30 54 -31
30 55 -20
31 55 75
31 56 82
32 56 86
32 57 53
33 57 60
33 58 -49
34 58 -82
34 59 36
35 59 66
35 60 -68
36 60 -15
36 61 -5
37 61 -13
37 62 -32
38 62 63
38 63 -86
39 63 66
39 64 -74
40 64 -6
40 65 -55
41 65 33
41 66 -77
42 66 -73
42 67 -46
43 67 62
43 68 -45
44 68 -5
44 69 -78
45 69 -62
45 70 -48
46 70 -88
46 71 -71
47 71 96
47 72 90
48 72 89
48 73 -82
49 73 1
49 74 -58
50 74 92
50 75 40
51 75 87
51 76 30
52 77 89
53 77 66
53 78 -33
54 78 -35
54 79 13
55 79 -25
55 80 26
56 80 14
56 81 -95
57 81 15
57 82 -63
58 82 6
58 83 -27
59 83 36
59 84 -78
60 84 31
60 85 -74
61 85 -27
61 86 -50
62 86 -58
62 87 6
63 87 2
63 88 -46
64 88 42
64 89 -84
65 89 -85
65 90 -93
66 90 54
66 91 82
67 91 76
67 92 14
68 92 -31
68 93 -36
69 93 -60
69 94 82
70 94 5
70 95 63
71 95 80
71 96 93
72 96 59
72 97 20
73 97 76
73 98 33
74 98 42
74 99 35
75 99 -13
75 100 25
76 100 81
76 101 40
77 102 -7
78 102 78
78 103 76
79 103 -66
79 104 32
80 104 25
80 105 -76
81 105 52
81 106 82
82 106 14
82 107 -50
83 107 -36
83 108 86
84 108 3
84 109 25
85 109 -48
85 110 -3
86 110 -88
86 111 -7
87 111 -85
87 112 62
88 112 -34
88 113 75
89 113 -93
89 114 16
90 114 32
90 115 -23
91 115 -36
91 116 81
92 116 -53
92 117 28
93 117 -68
93 118 58
94 118 34
94 119 -48
95 119 87
95 120 -50
96 120 44
96 121 -80
97 121 -63
97 122 -66
98 122 -2
98 123 10
99 123 44
99 124 14
100 124 -91
100 125 93
101 125 11
101 126 -58
102 127 89
103 127 45
103 128 19
104 128 34
104 129 57
105 129 -4
105 130 11
106 130 -92
106 131 98
107 131 11
107 132 13
108 132 99
108 133 61
109 133 65
109 134 59
110 134 75
110 135 62
111 135 91
111 136 92
112 136 48
112 137 95
113 137 55
113 138 6
114 138 60
114 139 -2
115 139 -65
115 140 -38
116 140 -22
116 141 -30
117 141 -67
117 142 -85
118 142 47
118 143 -30
119 143 29
119 144 -41
120 144 -78
120 145 -49
121 145 87
121 146 39
122 146 14
122 147 39
123 147 -4
123 148 -25
124 148 -75
124 149 -11
125 149 -67
125 150 -88
126 150 4
126 151 81
127 152 5
128 152 98
128 153 -6
129 153 -38
129 154 -36
130 154 55
130 155 78
131 155 -85
131 156 -7
132 156 81
132 157 -2
133 157 -99
133 158 71
134 158 -68
134 159 -19
135 159 41
135 160 54
136 160 82
136 161 -90
137 161 82
137 162 27
138 162 -29
138 163 67
139 163 20
139 164 -37
140 164 -32
140 165 -2
141 165 19
141 166 -46
142 166 34
142 167 99
143 167 0
143 168 79
144 168 72
144 169 -66
145 169 -1
145 170 -83
146 170 -76
146 171 -34
147 171 -3
147 172 89
148 172 42
148 173 -35
149 173 -94
149 174 39
150 174 -77
150 175 -3
151 175 52
151 176 33
152 177 -75
153 177 58
153 178 -44
154 178 54
154 179 -31
155 179 -52
155 180 19
156 180 -51
156 181 -19
157 181 35
157 182 -41
158 182 -52
158 183 -21
159 183 -28
159 184 -55
160 184 -71
160 185 6
161 185 4
161 186 -19
162 186 -28
162 187 96
163 187 -20
163 188 66
164 188 30
164 189 -6
165 189 27
165 190 -30
166 190 -18
166 191 8
167 191 -86
167 192 8
168 192 -90
168 193 46
169 193 -36
169 194 -8
170 194 -5
170 195 -38
171 195 48
171 196 -3
172 196 25
172 197 -23
173 197 34
173 198 40
174 198 -7
174 199 71
175 199 -71
175 200 -14
176 200 61
176 201 -74
177 202 -90
178 202 87
178 203 65
179 203 11
179 204 -55
180 204 -35
180 205 -42
181 205 -21
181 206 -98
182 206 -42
182 207 -56
183 207 -26
183 208 12
184 208 20
184 209 -51
185 209 4
185 210 7
186 210 -63
186 211 70
187 211 99
187 212 -71
188 212 69
188 213 78
189 213 -98
189 214 1
190 214 -13
190 215 31
191 215 -26
191 216 -52
192 216 -24
192 217 -78
193 217 30
193 218 80
194 218 -23
194 219 18
195 219 31
195 220 -89
196 220 -79
196 221 33
197 221 23
197 222 -73
198 222 42
198 223 19
199 223 97
199 224 -22
200 224 72
200 225 97
201 225 23
201 226 27
202 227 90
203 227 -34
203 228 -86
204 228 -58
204 229 21
205 229 -42
205 230 64
206 230 22
206 231 86
207 231 -20
207 232 4
208 232 -73
208 233 -36
209 233 42
209 234 22
210 234 -90
210 235 -31
211 235 -49
211 236 29
212 236 19
212 237 -88
213 237 -78
213 238 82
214 238 95
214 239 -3
215 239 -7
215 240 -46
216 240 90
216 241 84
217 241 -8
217 242 57
218 242 92
218 243 19
219 243 -14
219 244 56
220 244 30
220 245 -2
221 245 37
221 246 -54
222 246 100
222 247 -8
223 247 89
223 248 60
224 248 90
224 249 28
225 249 87
225 250 54
226 250 -14
226 251 -65
227 252 77
228 252 -61
228 253 -90
229 253 -36
229 254 -47
230 254 -80
230 255 -81
231 255 64
231 256 -16
232 256 39
232 257 -31
233 257 89
233 258 -5
234 258 19
234 259 -17
235 259 -94
235 260 -54
236 260 47
236 261 80
237 261 81
237 262 -85
238 262 -62
238 263 60
239 263 -14
239 264 51
240 264 11
240 265 78
241 265 -8
241 266 -60
242 266 -8
242 267 -11
243 267 30
243 268 10
244 268 87
