5
2527 4952
1 2 72
1 3 83
1 4 3
1 5 29
1 6 -41
1 7 -97
1 8 68
1 9 -48
1 10 57
1 11 36
1 12 16
1 13 43
1 14 -35
1 15 13
1 16 -3
1 17 -32
1 18 -38
1 19 -38
1 20 -25
1 21 -53
1 22 63
1 23 56
1 24 -44
1 25 28
1 26 20
2 27 -52
3 27 -59
3 28 92
4 28 11
4 29 -3
5 29 82
5 30 22
6 30 79
6 31 -88
7 31 -61
7 32 19
8 32 24
8 33 84
9 33 39
9 34 22
10 34 22
10 35 -30
11 35 30
11 36 -64
12 36 90
12 37 5
13 37 99
13 38 -1
14 38 -57
14 39 -19
15 39 74
15 40 -48
16 40 -4
16 41 -31
17 41 -75
17 42 78
18 42 46
18 43 -1
19 43 70
19 44 -9
20 44 -15
20 45 -90
21 45 46
21 46 -90
22 46 -83
22 47 82
23 47 41
23 48 -13
24 48 37
24 49 -29
25 49 42
25 50 -88
26 50 42
26 51 20
27 52 -98
28 52 -57
28 53 62
29 53 -66
29 54 27
30 54 -46
30 55 -64
31 55 -54
31 56 -95
32 56 -70
32 57 -17
33 57 0
33 58 -92
34 58 -43
34 59 -39
35 59 -22
35 60 -12
36 60 -43
36 61 52
37 61 95
37 62 58
38 62 -8
38 63 -15
39 63 -74
39 64 -25
40 64 -31
40 65 5
41 65 -84
41 66 83
42 66 20
42 67 -10
43 67 42
43 68 37
44 68 -37
44 69 95
45 69 50
45 70 57
46 70 -27
46 71 100
47 71 86
47 72 -31
48 72 78
48 73 69
49 73 -26
49 74 77
50 74 72
50 75 98
51 75 90
51 76 -50
52 77 -76
53 77 80
53 78 -28
54 78 63
54 79 -99
55 79 -65
55 80 -16
56 80 89
56 81 47
57 81 -76
57 82 -34
58 82 88
58 83 -40
59 83 -65
59 84 -14
60 84 7
60 85 5
61 85 92
61 86 -31
62 86 67
62 87 46
63 87 -44
63 88 15
64 88 -17
64 89 -71
65 89 -93
65 90 -90
66 90 -26
66 91 -90
67 91 88
67 92 69
68 92 -20
68 93 89
69 93 -9
69 94 61
70 94 6
70 95 62
71 95 0
71 96 -81
72 96 -94
72 97 -90
73 97 20
73 98 15
74 98 -83
74 99 -4
75 99 86
75 100 24
76 100 -6
76 101 -41
77 102 61
78 102 16
78 103 82
79 103 -25
79 104 -75
80 104 37
80 105 -71
81 105 -45
81 106 50
82 106 -7
82 107 -51
83 107 18
83 108 -91
84 108 95
84 109 39
85 109 96
85 110 47
86 110 -61
86 111 49
87 111 -76
87 112 8
88 112 99
88 113 74
89 113 3
89 114 87
90 114 2
90 115 44
91 115 28
91 116 52
92 116 -7
92 117 -82
93 117 80
93 118 -81
94 118 -59
94 119 100
95 119 54
95 120 25
96 120 53
96 121 19
97 121 -90
97 122 87
98 122 73
98 123 33
99 123 41
99 124 76
100 124 -86
100 125 -57
101 125 27
101 126 -37
102 127 -36
103 127 4
103 128 34
104 128 83
104 129 97
105 129 12
105 130 -71
106 130 11
106 131 -100
107 131 75
107 132 4
108 132 -66
108 133 48
109 133 -17
109 134 -49
110 134 -89
110 135 1
111 135 16
111 136 -45
112 136 52
112 137 79
113 137 -89
113 138 57
114 138 -51
114 139 -8
115 139 -31
115 140 -44
116 140 -98
116 141 -4
117 141 -51
117 142 12
118 142 -38
118 143 55
119 143 -35
119 144 -77
120 144 -71
120 145 -39
121 145 -9
121 146 -56
122 146 -11
122 147 64
123 147 23
123 148 77
124 148 -60
124 149 92
125 149 65
125 150 -98
126 150 -14
126 151 -11
127 152 -20
128 152 -95
128 153 37
129 153 -87
129 154 -59
130 154 -39
130 155 -98
131 155 19
131 156 54
132 156 -39
132 157 -25
133 157 -73
133 158 -24
134 158 56
134 159 -90
135 159 36
135 160 6
136 160 -95
136 161 81
137 161 58
137 162 32
138 162 -44
138 163 -41
139 163 72
139 164 52
140 164 60
140 165 -87
141 165 19
141 166 -54
142 166 -50
142 167 15
143 167 11
143 168 53
144 168 -69
144 169 -69
145 169 -81
145 170 58
146 170 -69
146 171 -9
147 171 -23
147 172 -63
148 172 -38
148 173 1
149 173 90
149 174 -79
150 174 24
150 175 -45
151 175 99
151 176 83
152 177 69
153 177 -81
153 178 59
154 178 -60
154 179 85
155 179 -2
155 180 -50
156 180 -93
156 181 -43
157 181 87
157 182 36
158 182 -9
158 183 9
159 183 3
159 184 59
160 184 -88
160 185 -77
161 185 -77
161 186 -22
162 186 0
162 187 84
163 187 0
163 188 -32
164 188 59
164 189 55
165 189 -11
165 190 -91
166 190 13
166 191 91
167 191 7
167 192 -42
168 192 78
168 193 32
169 193 97
169 194 51
170 194 7
170 195 -28
171 195 28
171 196 -82
172 196 -92
172 197 -36
173 197 -7
173 198 74
174 198 -88
174 199 23
175 199 34
175 200 -6
176 200 75
176 201 -65
177 202 2
178 202 -38
178 203 29
179 203 25
179 204 -34
180 204 44
180 205 -84
181 205 -18
181 206 7
182 206 37
182 207 68
183 207 -58
183 208 11
184 208 51
184 209 -40
185 209 7
185 210 37
186 210 -95
186 211 64
187 211 -33
187 212 59
188 212 -11
188 213 11
189 213 44
189 214 -21
190 214 97
190 215 -93
191 215 -81
191 216 -48
192 216 -14
192 217 88
193 217 10
193 218 -36
194 218 -53
194 219 -14
195 219 80
195 220 13
196 220 -1
196 221 -83
197 221 25
197 222 14
198 222 54
198 223 2
199 223 71
199 224 96
200 224 -82
200 225 -10
201 225 -52
201 226 -54
202 227 45
203 227 -94
203 228 -42
204 228 81
204 229 24
205 229 -13
205 230 -77
206 230 -40
206 231 -81
207 231 47
207 232 98
208 232 -77
208 233 86
209 233 -33
209 234 87
210 234 31
210 235 69
211 235 -21
211 236 13
212 236 40
212 237 -45
213 237 71
213 238 -47
214 238 -27
214 239 1
215 239 69
215 240 63
216 240 56
216 241 79
217 241 90
217 242 18
218 242 58
218 243 50
219 243 -56
219 244 -48
220 244 -24
220 245 -34
221 245 -15
221 246 -100
222 246 -60
222 247 15
223 247 69
223 248 97
224 248 -60
224 249 -45
225 249 89
225 250 -36
226 250 7
226 251 73
227 252 6
228 252 -63
228 253 -76
229 253 -50
229 254 19
230 254 -79
230 255 71
231 255 -40
231 256 -1
232 256 -16
232 257 -60
233 257 -3
233 258 -35
234 258 35
234 259 85
235 259 -75
235 260 77
236 260 83
236 261 45
237 261 52
237 262 -82
238 262 -43
238 263 -75
239 263 -28
239 264 32
240 264 52
240 265 50
241 265 -48
241 266 25
242 266 88
242 267 38
243 267 73
243 268 17
244 268 -95
244 269 48
245 269 -26
245 270 29
246 270 -58
246 271 -8
247 271 -4
247 272 -33
248 272 -93
248 273 -38
249 273 -63
249 274 71
250 274 35
250 275 -20
251 275 -77
251 276 -61
252 277 67
253 277 33
253 278 -59
254 278 -64
254 279 -48
255 279 -81
255 280 -94
256 280 31
256 281 9
257 281 -1
257 282 -5
258 282 75
258 283 -35
259 283 -39
259 284 16
260 284 92
260 285 -54
261 285 35
261 286 58
262 286 78
262 287 -30
263 287 31
263 288 -83
264 288 -38
264 289 72
265 289 -33
