40573 42422
56148 -51503 7413
11826 -62502 -4650
22132 -32643 -66962
25415 19027 -18198
60020 -51492 -8040
48729 89843 83677
52570 5682 27755
57537 -47201 -98887
18871 -74477 -83299
8562 -1686 -64666
30368 -10314 81907
47102 26137 87511
2403 92642 9689
64172 -24021 -53729
36388 -32556 -4677
39827 12611 -10678
42330 -46938 70047
51503 -92298 -44479
49071 -24757 80172
70324 6878 6219
8142 -80908 10689
22948 -61429 -74675
37007 51529 34515
51707 -8146 76667
6812 82082 -393
71378 5269 32603
81492 93175 -28974
19033 -57424 -5375
50339 22617 48102
82410 63861 -44738
14185 -64491 16619
65176 -65944 4226
764 -54650 95943
52347 39705 -3112
31452 9889 -48238
38585 -22830 -33901
52721 90389 64189
77291 81697 11681
24011 44875 -78618
42719 90569 -20875
11347 14659 84054
60695 -46892 -18897
13380 -65302 -50508
31523 15648 -98371
67721 76331 34618
59858 94295 30065
65034 44476 37623
63722 -36097 77040
16552 1685 25571
66934 -22675 71064
41242 54760 18132
73928 -33222 32753
38942 -21377 83276
30355 92409 -78751
9571 -70812 -86437
61165 -17774 -14687
40547 -58838 -4029
26517 47829 49126
80989 48050 -51470
14827 -53484 -22634
57705 -74031 3691
59044 88236 78431
5010 75214 68305
48888 -50015 -98070
40122 983 15109
82386 46357 29457
36772 6272 -4394
3460 -41039 34907
36967 65599 38286
75422 64587 -47591
70098 62661 -79611
75274 92696 70476
53398 95984 90788
46237 66390 -61670
10132 -44794 57087
72206 96974 42176
40555 91358 -83665
38807 11947 8040
27714 -96869 80923
24985 93144 -26010
39713 -42958 -26269
62146 -97525 41867
37951 78469 85260
13338 52612 -73369
22645 69353 6788
37009 -94865 80707
64270 -83008 8769
37760 89129 -12032
16281 -40390 44117
64683 12029 -21358
62033 30385 91740
47168 -17566 -82243
52348 87379 -30067
19436 99390 -944
68857 -83701 -39530
50886 77768 25174
47143 -69970 -16337
77239 19337 -95822
43743 28178 -9303
36790 91606 16322
81094 -50903 -32507
48334 -67623 1747
68008 8908 59737
53362 -67319 -54670
32316 46600 281
70756 -94237 18118
70823 -68099 -95673
13006 71370 91648
11843 90013 9794
78127 -21138 -29058
76072 5722 -59681
46398 -85538 -97495
23561 -71460 -35838
40577 -55833 -41462
80287 59744 -44915
16091 12952 -57715
57930 13418 53161
68212 42021 -62069
37063 86862 -57607
1720 77798 35327
34852 77214 43032
57944 -94141 -41004
44334 -48535 77943
