40606 40438
4348 17328 -49097
30568 25938 48597
35619 -55669 -61386
60382 64772 -22939
33300 -91454 1993
10492 -93767 85234
50854 -32086 20519
67056 2573 23971
15343 51143 15569
69283 48019 89835
33196 -35025 -45782
70448 -84490 -96794
55887 34162 30643
55919 -57106 76748
26225 -68176 56190
54370 20887 -94207
36942 -18547 -92373
1422 -60108 27505
33266 -27095 -71636
67296 -74959 36009
14247 76742 -16850
77272 -7465 31284
28090 35772 38113
30902 22295 66986
68043 67452 99513
16097 90214 52965
11838 52333 -80093
56259 72475 72750
67253 39743 -93928
68712 -96150 -75175
34718 20058 30203
23089 -66849 -25114
46935 64232 -30156
28932 27994 91273
66249 72932 -47398
13966 84445 -36820
63405 32364 -83073
65567 19973 36927
12591 14622 -77263
75876 -35087 -68814
56060 -19485 21877
54000 -38205 -41062
32393 -62107 -15935
69501 91895 61658
80146 24895 -62648
5381 64785 87971
51970 51433 -26632
28538 46398 81847
58824 72569 86332
13882 -56476 -24648
45670 -70149 34818
44621 25825 -79107
40810 -5075 -82645
78462 69252 51588
56044 -1257 -78735
37504 -55212 -66282
26715 96181 61103
68849 33468 97632
18748 -19268 -61328
34958 20616 62519
11149 71654 -44826
35669 -3261 -95071
26141 -99987 -94076
12775 59590 2391
37692 13267 -67507
4111 10865 -32453
66220 -61318 -75301
52414 15467 84635
42030 -36304 99881
62981 65934 50298
76696 -5703 37226
5112 63756 -48545
64231 -35013 -14403
53656 68016 -74480
7676 69627 -39648
56840 -55830 32197
74100 -6011 89879
26060 -13885 39758
74460 24604 -17663
52613 19955 -39797
80554 -52912 82981
8837 62955 40257
43614 90417 -20041
34916 -86745 46180
48717 -8466 -33887
47240 59293 -13786
472 28650 -10425
67250 19481 -4870
33413 -29436 -24849
27378 -48858 -84444
17510 -57111 -4274
13782 2617 15643
21615 74312 52867
50654 64803 16207
3345 75941 -3809
70700 44980 58840
3407 -38637 18072
10254 19591 54639
7830 -67069 71306
33801 25150 58693
41948 87300 4865
45762 25984 49905
26828 -50810 30830
27229 -93171 25494
66266 -3481 -62167
34314 -72586 -85507
63949 6312 29162
68410 18175 71000
43721 53903 -75951
40912 -95413 -44890
47554 -19496 -91652
20867 69951 71300
59548 6673 15585
37073 151 -41988
79722 -90128 -10409
25878 -74589 -88270
24557 75171 95251
68562 68931 -19201
78390 2789 -36866
51819 76495 -33313
45742 7496 -73704
72180 -34647 26823
10526 23957 -45980
43866 32675 -17123
19686 -87105 62528
76345 -40050 15487
62829 -7635 -72273
18037 98618 53439
69616 -20188 85382
39726 43861 86022
56098 -35055 -52850
24272 -72924 61568
38682 -57178 36022
54745 -34669 91975
72465 39958 43444
17871 61760 63401
19037 -86853 87144
74157 -50271 -7145
51265 41566 -79101
19466 -42236 -44316
55384 -57059 -66681
36793 -30795 -64214
22844 40662 77680
79564 -19897 -69497
37305 1528 21239
68873 -29532 -31516
44862 21772 -93071
1826 -48904 28311
7575 -46768 -98199
55473 -69321 14195
22350 -33755 24591
1291 25676 87978
50594 -62811 -862
17783 -65662 55464
24480 13076 2598
74080 73190 -34638
28450 -81200 90320
71941 40667 71030
59197 9229 -15593
2760 2289 -10062
63512 -40046 150
4468 -10310 10641
28935 -81464 33101
68887 -96020 -75618
48734 -78337 -50461
63158 96331 -22477
78309 76669 -42250
77241 -10628 12987
31111 19459 -93152
78416 -89615 60853
