22143 20005
32253 -52637 25810
33127 27 90117
41522 17291 -29809
6217 -48379 -62784
5680 66115 27484
33921 54229 48918
2237 -76086 -29624
26885 -14458 69399
26714 56614 93415
34998 11648 -73564
6793 92070 33655
26901 5456 66447
24163 10747 17180
35748 -37022 -14861
24793 58161 -73575
16206 8410 -11684
29024 7975 14989
32107 67055 -10033
8910 53355 -40041
4995 3646 9919
34429 9612 71350
6803 -65631 -94030
35782 -11392 40266
7534 -43162 -51183
4706 88017 -77853
13425 -24491 -31330
10665 -26854 63933
10660 62063 86493
15794 -76078 -66676
5399 -33019 24116
7284 -75389 26368
12897 -55029 -14700
27282 11107 47267
30849 31729 -19656
10068 -19952 -31130
23072 -52187 6384
19835 -88032 80938
22515 98061 -52051
8192 87150 21956
19431 22566 84323
37239 8642 65633
10524 7494 -7214
31120 8765 43549
6305 -81825 -75127
19484 21938 96264
12329 5145 71855
16368 23953 16110
33020 -29841 -27763
25468 14157 59617
15175 -9965 39273
16416 -367 74836
4941 20813 67180
11938 53501 -80751
26881 70382 -16232
11623 166 9377
23399 -14652 18497
11495 38279 -15640
32750 -2222 37694
41583 89624 59493
320 33088 5298
33274 -14972 67000
1873 37737 63404
20552 11937 78513
41547 7295 92100
18673 -7718 -49849
4536 -66874 51436
37125 -77488 -63063
10105 -94319 34567
21147 19975 15053
4762 15175 69168
38556 60402 75028
3207 -75393 18265
20032 86966 -35630
12107 9715 65592
34414 -11390 -86748
13453 -13457 -52545
41319 -22976 -90209
22895 -35216 76518
18579 61439 -36553
15864 59592 57523
1247 -34883 -1926
30163 -8869 -25921
16759 76280 -60554
8271 -833 47294
19434 38885 80096
34322 84031 34052
25027 45282 26718
31670 53214 -19951
21426 30640 42192
6933 5250 -85339
22917 10063 54439
37529 -82009 -12446
2779 -9400 34270
12255 60243 9832
39793 78106 -97562
24894 85335 8247
27979 -91348 -88281
22062 -44634 89263
20034 -12531 -12566
40950 -35220 62540
20586 -25151 -66283
41136 71587 95217
35538 31332 -24569
21212 -7027 -46017
5701 92824 -48665
1929 -90905 -62779
9511 29261 -11918
18024 -38321 -33930
9018 -37933 47857
31654 -63322 52860
11768 3651 35998
4936 -89196 34878
7531 -53457 58883
24916 19261 -93663
6121 -57911 47618
12128 -84274 -42805
20577 1282 -6690
17941 11489 90814
7245 68061 47378
2406 -7127 5133
14047 -70819 -77653
946 -88593 -43815
21671 -81883 65148
42089 13699 57864
31809 70446 69757
42027 -27649 -74652
11892 10285 -22609
29079 -18028 77099
11873 -98345 56557
38906 -16354 87979
16519 34191 -85052
24422 81835 -46360
8333 2051 -55622
4562 16429 -51193
33664 70437 689
14503 14833 58903
4314 59476 -29325
25982 40136 83551
1381 78858 -30388
39454 7321 -20871
20607 -31664 82426
1589 -54336 -47563
32547 82161 -64591
7880 -61693 -4104
16956 4420 83432
19350 -29074 64172
24595 72722 -42321
5967 -20605 8800
24146 26437 57446
34837 -69213 -52390
11327 55957 -8535
36215 15053 -79243
6669 57452 -19988
4268 91907 11660
34229 -93853 85328
12369 -5908 -74520
33700 -74522 -37185
32796 76807 -93780
34287 -48685 42898
4690 -15981 9837
8491 10964 -82050
8642 60853 65589
39167 -47462 -95592
16608 92876 -34573
2269 29071 49150
8415 61576 -97645
31980 -38226 -54663
20776 -16383 3487
20013 49990 79572
28091 -56230 17572
4280 3619 27045
39330 -34798 -50944
10331 58799 22940
32612 -68632 31843
34363 54492 24335
29342 -49067 45966
19123 61066 -18190
4424 14410 -36689
19889 -67780 14240
36876 -11280 -58859
31310 -70213 -23977
11126 -19699 -94721
1266 20753 73792
38255 -7093 -69141
1222 34986 98833
7057 -15539 60748
32524 97143 58577
37533 51510 20746
5033 1780 28308
295 55783 29229
10196 -56476 -38250
31856 55445 -94697
20734 -28358 -8600
20269 35792 48725
4758 -78639 7941
3412 39559 -45972
19987 -28232 53703
25936 -39296 81583
170 -16368 45269
1038 42053 -83255
