40130 40888
45088 -54086 -16742
56779 8366 -91114
50287 29224 -55610
53102 39981 51567
67642 60448 -60853
66956 -88236 -99559
62604 -67976 2016
64905 -96494 44366
74844 61847 94698
14351 63521 -6367
63483 70795 -14083
44464 19912 27236
34601 3167 -2547
27570 11726 -83902
70671 -26192 -16374
44217 94579 50252
30779 35889 69213
76629 74032 8236
44636 -70658 -4800
28664 -50888 44780
38749 48947 -64170
15468 95822 18121
49179 3369 63694
61878 -23402 -77576
15646 -85914 -20728
5086 -48402 -67336
35070 44979 -1380
21580 -31925 -15935
28812 71130 -64881
66770 -23257 52543
8160 80441 -70869
67344 -52681 -42973
5790 -57004 -95148
75224 -93237 -89904
72488 64096 -94924
50525 81637 47023
38765 -96067 -88277
36481 74539 -56567
44302 -66305 55364
29191 90211 72016
7215 -48744 -52604
15363 76231 -43131
52850 29349 74396
28782 -81165 -90865
64784 -79177 3719
43477 32554 82427
39715 -75460 83342
33961 -92458 94062
48222 -40197 -41605
75146 74170 88095
8599 -23750 -33180
80889 75745 -75480
48668 20490 -74716
38983 84099 89789
71454 -43663 -92577
34883 -45635 76238
18217 99646 70014
61970 -26040 34468
31742 -25789 -16456
28945 52945 5668
11430 -40567 26738
66916 3138 -6154
45724 65965 93949
39706 30603 97742
53739 22223 -21664
42060 42944 -90082
16106 -91936 26610
23678 -41643 79808
55518 -18409 -17107
7430 -15781 -14869
80572 86364 44118
18350 -74256 -78184
27334 -58974 -21752
8222 -39711 89436
51804 -50581 -86486
56735 -84920 58176
4127 10556 -85680
14279 23782 -40974
25283 50477 30769
40161 -81512 12630
51169 40266 -34363
19487 -59789 19963
1399 99452 45345
13905 -12302 28392
12274 7065 10182
51179 -25657 -7093
9395 -69466 71690
16341 21807 94298
42772 78020 -23905
55525 -99915 -27652
73469 98157 52253
59788 -99938 46383
45429 42613 89368
25750 65898 79196
18463 -37502 54296
80963 -19907 -89473
27321 -50315 28480
79467 70001 50844
31917 48377 -56238
41190 -54576 -74119
9158 -20247 -83277
70606 -79926 -49335
73403 24053 91600
69527 72499 7431
15388 -51100 92271
32004 -18928 -87633
66970 7208 1075
10706 -22135 -40647
37337 -71457 -84766
25148 64197 -27031
44378 -38425 -71840
45865 -91895 87660
50086 -84533 -32913
79282 44131 54706
55894 -73402 75011
36146 13139 -19948
12640 -14148 46843
67997 86823 -71349
31398 46713 32624
47484 25981 -49344
74166 -44681 -35730
35790 50727 28762
319 21040 -32145
19066 -89123 86253
62537 47225 32244
51489 -20276 74535
22764 -31021 66634
22440 -45552 -12419
18763 -58685 32092
53044 98825 15929
38902 65185 -78226
39021 -64046 788
35157 -10795 -83937
31799 -57537 -48596
72417 75251 -75415
61826 -38747 -22296
41974 30258 90504
2303 -51775 37222
3996 54079 -62533
78004 5880 32469
40672 -14543 49210
23153 -14754 65084
4097 35489 45608
58870 -34030 -37507
4458 -9158 -12906
77599 -85707 -52648
13882 -98832 7736
80096 -28052 9459
38049 91549 -8035
808 62512 62507
39584 53288 -3459
59278 -27397 90268
12574 5486 -66862
41336 -61990 76454
17201 -72019 92673
65622 98747 -92017
17921 6669 -39110
49103 44063 -80909
5260 17838 51343
78754 82789 -35951
6289 7348 80682
45501 -50028 38491
67540 79931 61265
21139 18460 -39561
71419 65115 90220
67688 5206 -55254
64096 -66905 -65899
30352 63859 -32019
46831 -28005 -98478
17521 87436 -62433
35471 14020 9307
47741 91898 -70137
49533 42279 -77035
77784 -60265 22803
3581 -31847 41524
74230 -39966 -7553
7784 -3406 38270
37210 58155 -70434
36379 94194 -61142
11925 -94448 95513
14534 66023 78740
28506 39952 71363
37858 16814 51034
73057 -11457 -65023
40453 -6102 86416
45510 -28885 17634
78403 -62356 69588
27589 -32322 97399
78858 38417 17336
75472 4821 -82515
25145 -49047 -56465
16449 -61124 15155
57081 92567 -93623
67989 -43354 -34178
56839 -17166 21573
1402 5222 -14079
32586 21133 50747
61251 -35589 -62172
19424 -36052 -19544
10057 79822 -3292
19421 -76259 43893
14092 -57133 -85089
65498 98348 -12875
56785 98528 -23279
60948 17556 -14588
11151 9633 -33900
6100 31574 85886
1128 81873 65156
50192 -25583 -18795
39241 -40162 36079
22598 15801 -52122
79758 -37606 76795
68247 -60213 96847
15097 -41859 91534
74425 -49253 -80084
20753 46275 35159
32538 96966 38656
68339 59751 12009
57438 66911 61482
49583 -57243 -98098
34084 87546 -57423
32590 743 25565
20610 -18333 -69335
69487 5351 -31196
32474 94566 56027
13282 -88192 92800
1757 26932 -82523
16032 -17412 91991
44499 -25586 -3807
26789 37145 39784
71140 84450 -3852
64884 -64669 -74362
15153 12123 5578
65707 -60466 84745
6663 43372 72581
13287 58390 82877
65992 -10932 -50720
78797 85367 -8017
72313 -38071 51874
59022 76794 74733
50990 -25604 44736
72868 -28062 -70233
58678 -5630 84285
13132 -12801 -62624
54270 -98323 -8342
46111 -72306 59571
64299 75404 -83326
5032 26030 40717
39327 -15080 56350
41469 2855 71834
72916 -752 -37007
15933 95399 -71454
50789 65902 -19159
22332 -67810 26754
59687 39770 -89369
41669 76144 -97075
78564 -98686 32473
44582 59800 15020
35188 41594 -84715
60317 -11717 56018
31106 -95307 -80925
12859 68595 -94340
12733 52688 47847
52638 -7328 -22013
56506 -84281 -98224
45679 80839 -17432
14601 -51320 29223
3375 -31439 -31290
76844 26181 -69243
68562 -42347 -16950
78299 10633 42806
4509 -85668 785
49285 14622 5474
68706 27475 2713
34736 -74208 -42908
57240 84664 50809
18881 57699 -20091
6091 -17229 26788
40036 65366 -29430
54879 97797 -30485
55302 99130 67795
70545 11779 -94269
4439 31042 35782
36507 38742 96651
5668 81177 -66909
61839 24948 -15931
23258 55397 -60859
30412 -94336 46909
3570 -6765 45878
31802 -64723 -56262
23252 79108 -45983
